## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
1038862	periphery	Bradyrhizobium japonicum USDA124	Bradyrhizobium japonicum USDA 124
1038866	periphery	Bradyrhizobium sp. WSM2793	Bradyrhizobium sp. WSM2793
1038867	periphery	Bradyrhizobium sp. WSM3983	Bradyrhizobium sp. WSM3983
1038869	periphery	Burkholderia mimosarum	Burkholderia mimosarum LMG 23256
1038922	periphery	Pseudomonas fluorescens Q287	Pseudomonas fluorescens Q2-87
1040982	periphery	Mesorhizobium loti CJ3sym	Mesorhizobium loti CJ3sym
1040983	periphery	Mesorhizobium loti USDA3471	Mesorhizobium loti USDA 3471
1040986	periphery	Mesorhizobium sp. WSM3224	Mesorhizobium sp. WSM3224
1040987	periphery	Mesorhizobium sp. WSM3626	Mesorhizobium sp. WSM3626
1040989	periphery	Bradyrhizobium sp. ARR65	Bradyrhizobium sp. ARR65
1041138	periphery	Rhizobium gallicum	Rhizobium gallicum bv. gallicum R602sp
1041139	periphery	Rhizobium giardinii	Rhizobium giardinii bv. giardinii H152
1041142	periphery	Rhizobium leguminosarum GB30	Rhizobium leguminosarum bv. viciae GB30
1041146	periphery	Rhizobium sullae	Rhizobium sullae WSM1592
1041147	periphery	Rhizobium leucaenae	Rhizobium leucaenae USDA 9039
1041159	periphery	Ensifer sp. WSM1721	Ensifer sp. WSM1721
1041504	periphery	Arthromitus sp. SFBratYit	Candidatus Arthromitus sp. SFB-rat-Yit
1041522	periphery	Mycobacterium colombiense	Mycobacterium colombiense CECT 3035
1041607	periphery	Wickerhamomyces ciferrii	Wickerhamomyces ciferrii
1041826	periphery	Flavobacterium columnare	Flavobacterium columnare ATCC49512
1041930	core	Methanocella conradii	Methanocella conradii HZ254
1042156	periphery	Clostridium sp. SY8519	Clostridium sp. SY8519
1042163	core	Brevibacillus laterosporus LMG15441	Brevibacillus laterosporus LMG 15441
1042209	periphery	Pseudomonas fluorescens HK44	Pseudomonas fluorescens HK44
1042326	periphery	Rhizobium sp. IBUN	Rhizobium sp. IBUN
1042375	periphery	Marinobacterium stanieri	Marinobacterium stanieri S30
1042376	periphery	Flavobacteriaceae bacterium S85	Flavobacteriaceae bacterium S85
1042377	periphery	Microbulbifer agarilyticus	Microbulbifer agarilyticus S89
1042876	periphery	Pseudomonas putida S16	Pseudomonas putida S16
1042877	periphery	Thermococcus sp. 4557	Thermococcus sp. 4557
1043205	core	Serinicoccus profundi	Serinicoccus profundi MCCC 1A05965
1043493	core	Lysinimicrobium mangrovi	Lysinimicrobium mangrovi
1045004	periphery	Oenococcus kitaharae	Oenococcus kitaharae DSM17330
1045009	periphery	Citricoccus sp. CH26A	Citricoccus sp. CH26A
1045854	periphery	Weissella koreensis	Weissella koreensis KACC 15510
1045855	periphery	Pseudoxanthomonas spadix	Pseudoxanthomonas spadix BD-a59
1045856	periphery	Enterobacter cloacae EcWSU1	Enterobacter cloacae EcWSU1
1045858	core	Brachyspira intermedia	Brachyspira intermedia PWS/A
1046625	periphery	Acinetobacter lwoffii WJ10621	Acinetobacter lwoffii WJ10621
1046627	core	Bizionia argentinensis	Bizionia argentinensis JUB59
1046629	periphery	Streptococcus salivarius 57I	Streptococcus salivarius 57.I
1046714	core	Gayadomonas joobiniege	Gayadomonas joobiniege G7
1046724	periphery	Marinobacter lipolyticus BF04CF4	Marinobacter lipolyticus BF04_CF-4
1047013	core	Aminicenantes bacterium AAA252A02	Aminicenantes bacterium SCGC AAA252-A02
1047171	core	Zymoseptoria tritici	Zymoseptoria tritici
1048339	core	Sporichthya polymorpha	Sporichthya polymorpha DSM43042
1048829	periphery	Paracoccidioides sp. lutzii	Paracoccidioides sp. 'lutzii'
1048830	periphery	Mycoplasma iowae	Mycoplasma iowae 695
1048834	periphery	Alicyclobacillus acidocaldarius Tc41	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
1048983	core	Anditalea andensis	Anditalea andensis
1049564	periphery	endosymbiont of Tevnia	endosymbiont of Tevnia jerichonana (vent Tica)
1050201	core	Allobaculum stercoricanis	Allobaculum stercoricanis DSM13633
1050202	periphery	Actinopolyspora mortivallis	Actinopolyspora mortivallis DSM44261
1051006	core	Propionibacterium acnes SK182BJCVI	Propionibacterium acnes SK182B-JCVI
1051501	periphery	Bacillus mojavensis	Bacillus mojavensis KCTC 3706
1051613	periphery	Verticillium alfalfae	Verticillium alfalfae
1051632	periphery	Sulfobacillus acidophilus	Sulfobacillus acidophilus TPY
1051646	periphery	Vibrio tubiashii	Vibrio tubiashii ATCC19109
1051985	periphery	Neisseria weaveri	Neisseria weaveri LMG 5135
1052684	periphery	Paenibacillus polymyxa M1	Paenibacillus polymyxa M1
1054213	periphery	Acetobacteraceae bacterium AT5844	Acetobacteraceae bacterium AT-5844
1054217	core	Thermoplasmatales archaeon	Thermoplasmatales archaeon BRNA1
1054460	periphery	Streptococcus pseudopneumoniae	Streptococcus pseudopneumoniae IS7493
1054860	periphery	Streptomyces purpureus	Streptomyces purpureus KA281
1055815	periphery	Psychrobacter sp. TB67	Psychrobacter sp. TB67
1056495	periphery	Caldisphaera lagunensis	Caldisphaera lagunensis DSM15908
1056512	periphery	Grimontia indica	Grimontia indica
1056816	periphery	Nocardia sp. BMG51109	Nocardia sp. BMG51109
1056820	periphery	Teredinibacter turnerae T7902	Teredinibacter turnerae T7902
1057002	periphery	Ensifer sp. BR816	Ensifer sp. BR816
1064535	core	Megasphaera elsdenii	Megasphaera elsdenii DSM20460
1064537	periphery	Brachybacterium paraconglomeratum	Brachybacterium paraconglomeratum LC44
1068978	periphery	Amycolatopsis methanolica	Amycolatopsis methanolica 239
1068980	periphery	Amycolatopsis nigrescens	Amycolatopsis nigrescens CSC17Ta-90
1069080	periphery	Succinispira mobilis	Succinispira mobilis DSM6222
1069533	periphery	Streptococcus infantarius	Streptococcus infantarius subsp. infantarius CJ18
1069534	periphery	Lactobacillus ruminis ATCC27782	Lactobacillus ruminis ATCC27782
1070319	core	Glomeribacter gigasporarum	Candidatus Glomeribacter gigasporarum BEG34
1070774	periphery	Halonotius sp. J07HN4	Halonotius sp. J07HN4
1071073	periphery	Bacillus sp. NSP222	Bacillus sp. NSP22.2
1071085	periphery	haloarchaeon 3A1DGR	haloarchaeon 3A1_DGR
1071379	periphery	Tetrapisispora blattae	Tetrapisispora blattae
1071400	core	Lactobacillus buchneri CD034	Lactobacillus buchneri CD034
1071679	periphery	Burkholderia grimmiae	Burkholderia grimmiae
1072685	periphery	Basilea psittacipulmonis	Basilea psittacipulmonis DSM24701
1073999	core	Cronobacter condimenti	Cronobacter condimenti 1330
1074451	periphery	Lactobacillus curvatus	Lactobacillus curvatus CRL 705
1074488	periphery	Brachybacterium squillarum	Brachybacterium squillarum M-6-3
1074889	periphery	Blattabacterium sp. MADAR	Blattabacterium sp. (Mastotermes darwiniensis)
1075090	periphery	Gordonia amarae	Gordonia amarae NBRC 15530
1075399	periphery	Blattabacterium sp. Cpu	Blattabacterium sp. (Cryptocercus punctulatus)
1076550	periphery	Pantoea rwandensis	Pantoea rwandensis
1077144	periphery	Dietzia alimentaria	Dietzia alimentaria 72
1077285	periphery	Bacteroides faecis	Bacteroides faecis MAJ27
1077972	periphery	Arthrobacter globiformis	Arthrobacter globiformis NBRC 12137
1077974	periphery	Gordonia effusa	Gordonia effusa NBRC 100432
1078020	periphery	Mycobacterium thermoresistibile	Mycobacterium thermoresistibile ATCC19527
1078083	periphery	Staphylococcus sp. HGB0015	Staphylococcus sp. HGB0015
1078085	core	Paenisporosarcina sp. HGH0030	Paenisporosarcina sp. HGH0030
1079460	periphery	Rhizobium mongolense	Rhizobium mongolense USDA 1844
1079986	periphery	Streptomyces chartreusis	Streptomyces chartreusis NRRL12338
1080067	periphery	Citrobacter sp. S77	Citrobacter sp. S-77
1081640	periphery	Sphingomonas elodea	Sphingomonas elodea ATCC31461
1081644	periphery	Aquiluna sp. IMCC13023	Candidatus Aquiluna sp. IMCC13023
1082705	core	Lonsdalea quercina	Lonsdalea quercina subsp. quercina
1082931	core	Pelagibacterium halotolerans	Pelagibacterium halotolerans B2
1082932	periphery	Agrobacterium tumefaciens CCNWGS0286	Agrobacterium tumefaciens CCNWGS0286
1082933	periphery	Mesorhizobium amorphae	Mesorhizobium amorphae CCNWGS0123
1085623	periphery	Glaciecola nitratireducens	Glaciecola nitratireducens FR1064
1086011	periphery	Flavobacterium frigoris	Flavobacterium frigoris PS1
1087448	periphery	Exiguobacterium antarcticum	Exiguobacterium antarcticum B7
1087481	periphery	Paenibacillus peoriae	Paenibacillus peoriae KCTC 3763
1088721	periphery	Novosphingobium pentaromativorans	Novosphingobium pentaromativorans US6-1
1088868	periphery	Commensalibacter intestini	Commensalibacter intestini A911
1088869	periphery	Gluconobacter morbifer	Gluconobacter morbifer G707
1089439	core	Fangia hongkongensis	Fangia hongkongensis FSC776
1089447	periphery	Aggregatibacter actinomycetemcomitans RhAA1	Aggregatibacter actinomycetemcomitans RhAA1
1089453	periphery	Gordonia sputi	Gordonia sputi NBRC 100414
1089455	periphery	Mobilicoccus pelagius	Mobilicoccus pelagius NBRC 104925
1089544	periphery	Amycolatopsis benzoatilytica	Amycolatopsis benzoatilytica AK 16/65
1089545	periphery	Amycolatopsis balhimycina	Amycolatopsis balhimycina FH 1894
1089546	periphery	Actinopolyspora halophila	Actinopolyspora halophila DSM43834
1089547	core	Rudanella lutea	Rudanella lutea DSM19387
1089548	core	Thermicanus aegyptius	Thermicanus aegyptius DSM12793
1089549	core	Haloglycomyces albus	Haloglycomyces albus DSM45210
1089550	periphery	Salisaeta longa	Salisaeta longa DSM21114
1089551	core	Geminicoccus roseus	Geminicoccus roseus DSM18922
1089552	core	Rhodovibrio salinarum	Rhodovibrio salinarum DSM9154
1089553	core	Thermacetogenium phaeum	Thermacetogenium phaeum DSM12270
1090318	periphery	Sphingomonas phyllosphaerae 52	Sphingomonas phyllosphaerae 5.2
1090319	periphery	Sphingomonas phyllosphaerae FA2	Sphingomonas phyllosphaerae FA2
1090320	periphery	Sphingomonas melonis	Sphingomonas melonis DAPP-PG 224
1094184	periphery	Xanthomonas campestris musacearum	Xanthomonas campestris pv. musacearum NCPPB 4379
1094466	periphery	Flavobacterium indicum	Flavobacterium indicum GPTSA100-9
1094489	periphery	Bartonella australis	Bartonella australis Aust/NH1
1094491	periphery	Bartonella bovis	Bartonella bovis 91-4
1094496	periphery	Bartonella schoenbuchensis	Bartonella schoenbuchensis m07a
